title	type	url_slug	venue	date	location	talk_url	description
Pace and Space: An Alternative Measure of NBA Shooting Prowess	Talk	talk-1	Carnegie Mellon Sports Analytics Conference	2018-10-27	Pittsburgh, PA		Joint work with: A. Ghadiyaram, S. Silwal, and R.Shah.
Performance Certification of First Order Methods for Parametric Quadratic Optimization	Talk	talk-2	International Conference on Continuous Optimization	2022-07-26	Lehigh, PA		Joint work with: B. Stellato.
